City_ID,City,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
176,Sioux Lookout,50.1001,-91.917,19.47,19.47,73,20,2.3,CA,few clouds
177,Nioro,13.35,-15.75,99.86,99.86,14,6,5.75,GM,clear sky
178,Nouadhibou,20.931,-17.0347,80.58,80.58,34,0,17.27,MR,clear sky
179,Touros,-5.1989,-35.4608,85.12,85.12,67,100,13.69,BR,overcast clouds
180,Muborak,39.2553,65.1528,82.44,82.44,30,100,22.03,UZ,overcast clouds
181,Nuevitas,21.5453,-77.2644,79.95,79.95,53,53,13.24,CU,broken clouds
182,Guerrero Negro,27.9769,-114.0611,59.41,59.41,87,3,8.72,MX,clear sky
183,Sladkovo,55.5284,70.3385,65.71,65.71,41,86,11.18,RU,overcast clouds
184,Urumqi,43.801,87.6005,58.15,58.15,41,0,6.71,CN,clear sky
185,Kalabo,-14.97,22.6814,77.11,77.11,51,97,8.52,ZM,overcast clouds
186,Tchollire,8.4022,14.1698,98.64,98.64,29,99,4.43,CM,overcast clouds
187,Kirakira,-10.4544,161.9205,80.29,80.29,80,98,3.36,SB,overcast clouds
188,Ahipara,-35.1667,173.1667,60.28,60.28,66,81,5.1,NZ,broken clouds
189,Tshikapa,-6.4167,20.8,72.77,72.77,94,100,4.5,CD,moderate rain
190,Sakakah,29.9697,40.2064,90.97,90.97,16,10,4.23,SA,clear sky
191,Ilulissat,69.2167,-51.1,37.06,37.06,87,100,9.15,GL,overcast clouds
192,Gambissara,13.2382,-14.3108,103.01,103.01,12,14,3.96,SN,few clouds
193,Skjervoy,70.0311,20.9714,28.4,28.4,60,100,33.46,NO,light snow
194,Cidreira,-30.1811,-50.2056,81.28,81.28,65,0,7.67,BR,clear sky
195,Lethem,3.3803,-59.7968,83.52,83.52,69,100,3.94,GY,overcast clouds
196,Praya,14.9215,-23.5087,77.54,77.54,57,20,25.32,CV,few clouds
197,Zhaodong,46.0833,125.9833,45.46,45.46,34,86,1.72,CN,overcast clouds
198,Shingu,33.7333,135.9833,66.6,66.6,95,100,3.49,JP,overcast clouds
199,Port Macquarie,-31.4333,152.9167,63.9,63.9,89,74,5.82,AU,broken clouds
200,Cooma,-36.2333,149.1333,53.37,53.37,100,100,6.91,AU,overcast clouds
201,Sanming,26.2486,117.6186,73.22,73.22,96,100,2.55,CN,light rain
202,Luanda,-8.8368,13.2343,80.19,80.19,78,75,11.05,AO,light rain
203,Eskisehir,39.7767,30.5206,75.07,75.92,27,0,16.11,TR,clear sky
204,Codrington,-38.2667,141.9667,62.49,62.49,77,100,10.49,AU,overcast clouds
205,Saskylakh,71.9167,114.0833,8.49,8.49,96,92,3.42,RU,overcast clouds
206,Yokadouma,3.5167,15.05,84.07,84.07,57,100,3.29,CM,overcast clouds
207,Zhezkazgan,47.8043,67.7144,67.98,67.98,30,0,4.47,KZ,clear sky
208,Carnarvon,-24.8667,113.6333,69.87,69.87,68,40,12.66,AU,scattered clouds
209,Vila Franca Do Campo,37.7167,-25.4333,64.81,64.81,86,74,14.45,PT,broken clouds
210,Caceres,39.522,-6.3748,69.48,69.48,38,7,9.57,ES,clear sky
211,Pevek,69.7008,170.3133,27.45,27.45,79,100,13.49,RU,overcast clouds
212,Kamsack,51.5667,-101.9009,24.49,24.49,83,91,13.27,CA,overcast clouds
213,Saint-Augustin,51.226,-58.6502,34.92,34.92,100,100,1.52,CA,overcast clouds
214,Capao Da Canoa,-29.7456,-50.0097,79.3,79.3,69,0,9.04,BR,clear sky
215,Laredo,27.5064,-99.5075,68.25,68.29,88,100,10.36,US,overcast clouds
216,Oil City,41.4339,-79.7064,33.04,35.78,93,100,11.5,US,mist
217,Pisco,-13.7,-76.2167,65.01,66.25,88,100,6.91,PE,mist
218,Porto Santo,33.072,-16.3415,66.58,66.58,63,20,11.5,PT,few clouds
219,Ketchikan,55.3422,-131.6461,36.07,40.98,100,75,0,US,broken clouds
220,Sebezh,56.2955,28.4654,42.24,42.24,69,99,8.23,RU,overcast clouds
